,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Run Date,Account,Action,Symbol,Description,Type,Exchange Quantity,Exchange Currency,Currency,Price,Quantity,Exchange Rate,Commission,Fees,Accrued Interest,Amount,Settlement Date
03/31/2025,Individual,EXPIRED PUT (NVDA) NVIDIA CORPORATION MAR 28 25 $94 as of Mar-28-2025 PUT (NVDA) NVIDIA CORPORATION MAR 28 25 $94 (100 SHS) (Margin),-NVDA250328P94,PUT (NVDA) NVIDIA CORPORATION MAR 28 25 $94 (100 SHS),Margin,0,,USD,,-1,0,,,,0,
03/31/2025,Individual,EXPIRED PUT (NVDA) NVIDIA CORPORATION MAR 28 25 $104 as of Mar-28-2025 PUT (NVDA) NVIDIA CORPORATION MAR 28 25 $104 (100 SHS) (Margin),-NVDA250328P104,PUT (NVDA) NVIDIA CORPORATION MAR 28 25 $104 (100 SHS),Margin,0,,USD,,1,0,,,,0,
03/31/2025,Individual,YOU SOLD OPENING TRANSACTION PUT (PLTR) PALANTIR MAY 02 25 $82 (100 SHS) (Margin),-PLTR250502P82,PUT (PLTR) PALANTIR MAY 02 25 $82 (100 SHS),Margin,0,,USD,6.71,-1,0,0.65,0.05,,670.3,04/01/2025
03/31/2025,Individual,YOU SOLD OPENING TRANSACTION PUT (PLTR) PALANTIR APR 25 25 $74 (100 SHS) (Margin),-PLTR250425P74,PUT (PLTR) PALANTIR APR 25 25 $74 (100 SHS),Margin,0,,USD,2.87,-1,0,0.65,0.03,,286.32,04/01/2025
03/31/2025,Individual,YOU BOUGHT OPENING TRANSACTION PUT (PLTR) PALANTIR APR 25 25 $64 (100 SHS) (Margin),-PLTR250425P64,PUT (PLTR) PALANTIR APR 25 25 $64 (100 SHS),Margin,0,,USD,1.03,1,0,0.65,0.03,,-103.68,04/01/2025
03/31/2025,Individual,YOU SOLD CLOSING TRANSACTION PUT (PLTR) PALANTIR APR 11 25 $64 (100 SHS) (Margin),-PLTR250411P64,PUT (PLTR) PALANTIR APR 11 25 $64 (100 SHS),Margin,0,,USD,0.43,-1,0,0.65,0.03,,42.32,04/01/2025
03/31/2025,Individual,YOU BOUGHT CLOSING TRANSACTION PUT (PLTR) PALANTIR APR 11 25 $74 (100 SHS) (Margin),-PLTR250411P74,PUT (PLTR) PALANTIR APR 11 25 $74 (100 SHS),Margin,0,,USD,1.67,1,0,0.65,0.03,,-167.68,04/01/2025
03/31/2025,Individual,YOU BOUGHT CLOSING TRANSACTION PUT (PLTR) PALANTIR APR 11 25 $86 (100 SHS) (Margin),-PLTR250411P86,PUT (PLTR) PALANTIR APR 11 25 $86 (100 SHS),Margin,0,,USD,6.58,1,0,0.65,0.03,,-658.68,04/01/2025
03/27/2025,Individual,YOU BOUGHT OPENING TRANSACTION PUT (IWM) ISHARES RUSSELL 2000APR 25 25 $183 (100 SHS) (Margin),-IWM250425P183,PUT (IWM) ISHARES RUSSELL 2000APR 25 25 $183 (100 SHS),Margin,0,,USD,0.39,1,0,0.65,0.03,,-39.68,03/28/2025
03/27/2025,Individual,YOU SOLD OPENING TRANSACTION PUT (IWM) ISHARES RUSSELL 2000APR 25 25 $193 (100 SHS) (Margin),-IWM250425P193,PUT (IWM) ISHARES RUSSELL 2000APR 25 25 $193 (100 SHS),Margin,0,,USD,1.26,-1,0,0.65,0.03,,125.32,03/28/2025
