,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Run Date,Account,Action,Symbol,Description,Type,Exchange Quantity,Exchange Currency,Currency,Price,Quantity,Exchange Rate,Commission,Fees,Accrued Interest,Amount,Settlement Date
09/30/2025,Individual,YOU SOLD CLOSING TRANSACTION PUT (NVDA) NVIDIA CORPORATION OCT 03 25 $157.5 (100 SHS) (Margin),-NVDA251003P157.5,PUT (NVDA) NVIDIA CORPORATION OCT 03 25 $157.5 (100 SHS),Margin,0,,USD,0.03,-1,0,0.15,0.02,,2.83,10/01/2025
09/30/2025,Individual,YOU BOUGHT CLOSING TRANSACTION PUT (NVDA) NVIDIA CORPORATION OCT 03 25 $167.5 (100 SHS) (Margin),-NVDA251003P167.5,PUT (NVDA) NVIDIA CORPORATION OCT 03 25 $167.5 (100 SHS),Margin,0,,USD,0.09,1,0,,0.02,,-9.02,10/01/2025
09/30/2025,Individual,YOU BOUGHT OPENING TRANSACTION PUT (XYZ) BLOCK INC CL A OCT 24 25 $55 (100 SHS) (Margin),-XYZ251024P55,PUT (XYZ) BLOCK INC CL A OCT 24 25 $55 (100 SHS),Margin,0,,USD,0.17,1,0,0.65,0.02,,-17.67,10/01/2025
09/30/2025,Individual,YOU BOUGHT OPENING TRANSACTION PUT (IWM) ISHARES RUSSELL 2000OCT 24 25 $213 (100 SHS) (Margin),-IWM251024P213,PUT (IWM) ISHARES RUSSELL 2000OCT 24 25 $213 (100 SHS),Margin,0,,USD,0.31,1,0,0.65,0.02,,-31.67,10/01/2025
09/30/2025,Individual,YOU SOLD OPENING TRANSACTION PUT (XYZ) BLOCK INC CL A OCT 24 25 $65 (100 SHS) (Margin),-XYZ251024P65,PUT (XYZ) BLOCK INC CL A OCT 24 25 $65 (100 SHS),Margin,0,,USD,0.93,-1,0,0.65,0.02,,92.33,10/01/2025
09/30/2025,Individual,YOU SOLD OPENING TRANSACTION PUT (IWM) ISHARES RUSSELL 2000OCT 24 25 $223 (100 SHS) (Margin),-IWM251024P223,PUT (IWM) ISHARES RUSSELL 2000OCT 24 25 $223 (100 SHS),Margin,0,,USD,0.8,-1,0,0.65,0.02,,79.33,10/01/2025
09/30/2025,Rollover IRA,YOU BOUGHT OPENING TRANSACTION PUT (CLS) CELESTICA INC COM OCT 03 25 $215 (100 SHS) (Margin),-CLS251003P215,PUT (CLS) CELESTICA INC COM OCT 03 25 $215 (100 SHS),Margin,0,,USD,0.35,1,0,0.65,0.02,,-35.67,10/01/2025
09/30/2025,Rollover IRA,YOU SOLD OPENING TRANSACTION PUT (CLS) CELESTICA INC COM OCT 03 25 $225 (100 SHS) (Margin),-CLS251003P225,PUT (CLS) CELESTICA INC COM OCT 03 25 $225 (100 SHS),Margin,0,,USD,1.1,-1,0,0.65,0.02,,109.33,10/01/2025
09/30/2025,Rollover IRA,YOU SOLD OPENING TRANSACTION PUT (HIMS) HIMS &HERS HEALTH OCT 17 25 $44 (100 SHS) (Margin),-HIMS251017P44,PUT (HIMS) HIMS &HERS HEALTH OCT 17 25 $44 (100 SHS),Margin,0,,USD,0.58,-1,0,0.65,0.02,,57.33,10/01/2025
09/30/2025,Rollover IRA,YOU BOUGHT OPENING TRANSACTION PUT (HIMS) HIMS &HERS HEALTH OCT 17 25 $35 (100 SHS) (Margin),-HIMS251017P35,PUT (HIMS) HIMS &HERS HEALTH OCT 17 25 $35 (100 SHS),Margin,0,,USD,0.14,1,0,0.65,0.02,,-14.67,10/01/2025
